Timestamp	M_Result	SD_Result	Low_Result	Hig_Result	M_coeff_a	SD_coeff_a	Low_coeff_a	Hig_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	Hig_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	Hig_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	Hig_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	Hig_coeff_e	
Sun Jul 14 14:29:14 2019	3.434264192646386	0.01575742374509956	3.4087909429788885	3.452714612471542	0.18364060569519022	0.020644194296895135	0.1535133027847906	0.21772379420855836	-0.09099408713627856	0.013432573680680808	-0.1111749140612037	-0.0631874735284324	0.0708475263397799	0.001812984651467198	0.06832694399843145	0.07378020558472571	2.404976844555648	0.645448102703392	1.4716635637082767	3.6951595531705075	-0.04454870410353566	0.0026955615302744354	-0.048933584968915166	-0.04051664776798353	
Sun Jul 14 14:31:01 2019	3.2520848322025673	0.0077033736131319865	3.2356949461591387	3.2609533895944858	0.18233486202133536	0.019350730258147434	0.1535133027847906	0.21595567017102957	-0.08964897632056089	0.01410447008700647	-0.1111749140612037	-0.0621251388307181	0.07054501549580293	0.002091502976859457	0.06740786822620161	0.07370120945788923	2.258487142231859	0.662691012416442	1.0925125487868566	3.1810767108819533	-0.04459103623269283	0.002766786081300708	-0.04911487211406686	-0.04051664776798353	
Sun Jul 14 14:32:50 2019	2.8251442198469405	0.008748248181994002	2.8066111710887833	2.832668686601427	0.18392561941056845	0.018561960904180726	0.15807817304898575	0.21595567017102957	-0.09068599880193505	0.01434402763512604	-0.1093359448444809	-0.0631874735284324	0.07021450656381174	0.0020286859881871546	0.0664715484346038	0.07334811039295108	2.185132634193105	0.6755146163294119	1.0925125487868566	3.1810767108819533	-0.04523994496508985	0.00228117931235074	-0.04911487211406686	-0.04136181544443379	
Sun Jul 14 14:34:38 2019	2.8057517858396683	0.005211609235088418	2.7956484830856327	2.811825146073002	0.18196848935366247	0.02089498050697228	0.14624569879240779	0.21595567017102957	-0.09014142065983773	0.014817727108971614	-0.11097586070430504	-0.0631874735284324	0.07016673367669028	0.0020486766393185193	0.06677403873397159	0.07360176787526576	2.1617164764510997	0.6924222626699665	1.0852718575080393	3.1810767108819533	-0.04523963858695069	0.0021473375741616935	-0.048933584968915166	-0.0414350521195551	
Sun Jul 14 14:36:25 2019	3.022612507291299	0.01577423821685077	2.991573411353059	3.0428088559905175	0.177453325794707	0.023007913244513845	0.14624569879240779	0.2137736619665523	-0.09280155155464047	0.015287936637332732	-0.11317542313446169	-0.0677200359582477	0.07023773503155559	0.0020515250117547315	0.06740786822620161	0.07377370222763724	2.1833276012941463	0.7227864799542307	1.0852718575080393	3.277129176947918	-0.04510521204458421	0.0021196646340377254	-0.04775323894065588	-0.0414350521195551	
Sun Jul 14 14:38:12 2019	3.0893612339556427	0.02980352209359873	3.0306576450677745	3.1330851682161347	0.18107844134608894	0.02581992884557906	0.14624569879240779	0.22093492129693565	-0.09382976978093578	0.01471002289809186	-0.11317542313446169	-0.06773214510039295	0.07055437368161606	0.0020519357073941025	0.0677610797170955	0.07377370222763724	2.212589954734734	0.7398695748095807	1.1166069646789762	3.5667035322626375	-0.04529830311177938	0.0020774871992093953	-0.04862131996948385	-0.04186580540475791	
Sun Jul 14 14:39:59 2019	3.4550292805427394	0.015092450821229583	3.425808644130347	3.474964990149488	0.17990142312793217	0.027038574946428987	0.13834099841556352	0.21953982646133308	-0.09388137818112906	0.014620090335868441	-0.11317542313446169	-0.0673296391855722	0.07095648363934638	0.002293532462786304	0.06785364655155163	0.07432750708596307	2.2206633077225115	0.7657194570825352	1.0852718575080393	3.5667035322626375	-0.04536484012045918	0.0022629227403253857	-0.04862131996948385	-0.041282558135884995	
Sun Jul 14 14:41:43 2019	3.3290690265863794	0.009984680052653195	3.3126851204274925	3.3399052304261208	0.18149018442148007	0.027243974447139913	0.1432817470937382	0.22093492129693565	-0.09670594097320763	0.016777402825251243	-0.11925647912591172	-0.0673296391855722	0.07134689764732864	0.0022431526327906046	0.06837906362353495	0.07456492959127069	2.298935340964273	0.7352795008645728	1.1166069646789762	3.821742273085637	-0.04583280671139067	0.0021863391104683986	-0.04980507432337812	-0.04250473745092976	
Sun Jul 14 14:43:29 2019	3.3014784865035165	0.02824381410741444	3.269255879735106	3.3228404101511897	0.18809190900662237	0.026144434158858997	0.1432817470937382	0.22181050757114718	-0.09339954564723102	0.017446973450644717	-0.11925647912591172	-0.06262193867354848	0.07161042901173174	0.0022970012731665765	0.06847081074472573	0.07529244712990679	2.2174478114739062	0.7183537543797976	1.118133652060525	3.821742273085637	-0.045676181033249594	0.00229790299384203	-0.04862131996948385	-0.041670431133631995	
Sun Jul 14 14:45:15 2019	3.2686609986357342	0.009144146500637733	3.249172907868412	3.2775623765669977	0.18516543250307416	0.024950478366712596	0.1432817470937382	0.22007989876262565	-0.0942209997533021	0.017671656780060146	-0.11925647912591172	-0.06262193867354848	0.07192437880023438	0.0021279841535982763	0.06884876912199263	0.07529244712990679	2.2040989741963637	0.6187762957963001	1.201626368207135	3.292340697906985	-0.04552509744425123	0.0022000788524028387	-0.04844953907563577	-0.041670431133631995	
Sun Jul 14 14:47:01 2019	3.1589861177866214	0.011779758140040569	3.1404092767023033	3.1741709370323226	0.18918880298796845	0.023338766708933388	0.148789710542642	0.22181050757114718	-0.09346571998990207	0.017523821686549205	-0.12067923875252015	-0.06262193867354848	0.07186135232873199	0.0018488042541115665	0.06876740871158368	0.07473403708503415	2.2705012300946676	0.6504321224881905	1.4087939118060482	3.5348918445880146	-0.045558212907492214	0.002000686113740219	-0.04844953907563577	-0.041698009806476	
Sun Jul 14 14:48:42 2019	3.14039581424553	0.007528808039941169	3.124188556655	3.1516448202876655	0.19221632549594142	0.023192735644142336	0.15614913541012623	0.224098336613553	-0.09263267701423529	0.015545233121357192	-0.1128431947141296	-0.06753670763007978	0.07156584478765222	0.0019184822864018168	0.06809190177835611	0.07473403708503415	2.216780383538176	0.7770744932215881	1.0300622524274936	3.615763689634395	-0.04543796032603353	0.001784783671020494	-0.04813678047343283	-0.041698009806476	
