Timestamp	M_Result	SD_Result	Low_Result	Hig_Result	M_coeff_a	SD_coeff_a	Low_coeff_a	Hig_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	Hig_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	Hig_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	Hig_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	Hig_coeff_e	
Mon Jul  1 22:15:26 2019	2.8286794356132163	0.21530100462612906	2.412663562702209	3.10082772525149	0.0015364435058536556	0.011607482919978025	-0.019571122162269094	0.021892751795448376	0.005348322130269837	0.009503883492187863	-0.015966327182743854	0.018797289581286965	0.006934473404469347	0.008109248267620904	-0.0073078670470416145	0.024011069214806918	0.9975853018897247	0.02653652214759241	0.9474905598617458	1.0423458468475033	0.002385416290595492	0.0064556623198116034	-0.009208368300473134	0.012626651495994914	
Mon Jul  1 22:19:37 2019	2.9836766658726623	0.09762445056545446	2.812636394156835	3.10082772525149	0.001891009809730669	0.013500187414098294	-0.019571122162269094	0.022990317876775194	0.0034315971551397545	0.010496738576593775	-0.015966327182743854	0.020883046023022007	0.010367679290523513	0.008067716932036909	-0.0010688597304605804	0.024011069214806918	0.997908269277689	0.030022730938132916	0.9474905598617458	1.0423458468475033	0.0033915447027820346	0.00652038740495692	-0.006642543002880933	0.015163627256789545	
Mon Jul  1 22:23:49 2019	3.001481542281002	0.09574030627484809	2.750877845699663	3.1034758398504114	0.0018773473148292993	0.013059927425191496	-0.019278469303546566	0.02198626660462852	0.004544739230004632	0.010109296608639483	-0.013323618655864079	0.020883046023022007	0.012039718963116433	0.008335404336513252	-0.0010688597304605804	0.027879135366616726	1.0013538987842	0.030986312846755678	0.9511196613631752	1.0423458468475033	0.004278966214496014	0.007093552411985829	-0.0046401653337390745	0.015163627256789545	
Mon Jul  1 22:27:59 2019	3.0231470224889585	0.09172162758895337	2.83688864345986	3.112283310359981	0.0014385855595280658	0.013008810001508516	-0.019571122162269094	0.021892751795448376	0.004065708138565113	0.009862164117237183	-0.012253374143637922	0.020101535233438383	0.01326212262284884	0.008438091507346385	-0.00042589432403233554	0.02950286697995696	1.004639757691694	0.03467261067820971	0.9511196613631752	1.0423458468475033	0.004809065776338795	0.0070861334960592775	-0.0046401653337390745	0.017623551648752254	
Mon Jul  1 22:32:10 2019	3.026745522302573	0.09401711440785307	2.8038463349115585	3.112283310359981	0.001810627810401972	0.012003826782472544	-0.018684975811169863	0.01957366303429544	0.0036025841978230577	0.009971193140666659	-0.011789329092563005	0.020101535233438383	0.015287903898390487	0.00809307582197266	0.0012498156868672318	0.02950286697995696	1.0092479432919308	0.03451005871661149	0.9638491333941637	1.0625951506710685	0.004957646323626751	0.007445168063121098	-0.0046401653337390745	0.017623551648752254	
Mon Jul  1 22:36:20 2019	3.0348280625687964	0.06665069791127126	2.899956825186769	3.112283310359981	0.002588519956973585	0.011894234956277732	-0.018684975811169863	0.01957366303429544	0.002936496465025813	0.010865645868470834	-0.012253374143637922	0.02646662336491375	0.017777654406081568	0.007967147385993946	0.005783344890688704	0.02965919764783525	1.0116126335556817	0.03203986541291756	0.9676842353726313	1.0625951506710685	0.005970643413361992	0.0076367429763466	-0.0029607071473528954	0.019921104669876427	
Mon Jul  1 22:40:29 2019	3.059081106415174	0.05401237718114976	2.9936221722197884	3.112283310359981	0.004108929646512277	0.010668597716343067	-0.012897408503454619	0.01899300464151021	0.002014614564142356	0.011204453028354818	-0.012420698382749541	0.027513078466326515	0.019228212694411214	0.007718254429267413	0.008157351686156616	0.030322196584159362	1.017704563762041	0.032886171062067225	0.9733151297024724	1.0746681653333883	0.005877793649378273	0.007629338589027894	-0.00453083942199725	0.019921104669876427	
Mon Jul  1 22:44:39 2019	3.072058802352638	0.04322036956860025	2.9742670278605448	3.112283310359981	0.004801716897132791	0.011369798587129575	-0.011887107776249076	0.022007145165196137	0.0015589022982324247	0.011067067594748623	-0.012631873775901687	0.027513078466326515	0.021319910578912027	0.007655556700526796	0.008157351686156616	0.032482691132271216	1.0154290514646895	0.03471851859254385	0.952768615766388	1.0750953508775496	0.0058890166386428465	0.007714133594804216	-0.00453083942199725	0.02142153089222703	
Mon Jul  1 22:48:47 2019	3.083614377957346	0.035011880036782995	3.0180697580563054	3.1126782016167245	0.006017819943969339	0.010888636507400948	-0.009654418440153864	0.022007145165196137	0.0016679656010872939	0.011429974402170629	-0.014737180388424956	0.027513078466326515	0.02267693203867226	0.007178869821307011	0.010760374161517153	0.03266602007843794	1.0114948059903515	0.03684678557509218	0.9519829673034266	1.0746681653333883	0.0066252803131014604	0.006969705139279698	-0.004055271175604424	0.02142153089222703	
Mon Jul  1 22:52:54 2019	3.086055744930074	0.029563638735051863	3.0573594738198118	3.1126782016167245	0.006364601217088585	0.012061740479588428	-0.009654418440153864	0.027110006449604027	0.0008974298553724857	0.011509742073419848	-0.018501082844431298	0.01979577634241229	0.023877935581133044	0.006864717091974116	0.01273717094626136	0.034441899683083234	1.0089654579016811	0.038715199591075826	0.9455269686667419	1.0746681653333883	0.006632019292490276	0.006940375993621591	-0.004055271175604424	0.019004668894046235	
