intnum	sex	age	Zeitung_W1	TV_W1	Zeitung_W2	TV_W2	Zeitung_W3	TV_W3	Einstellung_W1	Einstellung_W2	Einstellung_W3	Einstellung_Pro1	Einstellung_Pro2	Einstellung_Pro3	Cert1	Cert2	Cert3	Media_Reliance	Disk_Reliance	dim_bildung	dim_x	dim_y	dim_lr	dim_spr
21121	2	76	32	2	2	30	2	30	10	10	8	 	1.817693208471	.665712766161595	 	1	1	.933333333333333	.5	.2	6.97	2.61	.2	1
21149	1	43	23	6	8	30	1	32	10	10	10	1.71801206914427	1.44642003340243	1.50485637990229	1	1	1	.666666666666667	.866666666666667	1	7.57	2.46	-.2	1
21279	2	70	15	1	-99.99	-99.99	 	 	8	6	 	-.423086809635017	-.0766143236780795	 	1	.8	 	.6	.5	.6	6.87	2.52	0	1
21292	1	79	23	2	2	23	2	23	10	10	10	1.20831531020471	.918964433229051	1.22974831078278	1	1	.8	.666666666666667	.2	.8	7.54	2.07	0	1
21295	1	38	33	2	 	 	 	 	8	 	 	.283857317797884	 	 	1	 	 	.733333333333333	.2	1	6.19	2.61	.2	1
21333	1	63	30	8	2	30	 	 	8	5	 	 	1.29439465643325	 	.6	1	 	.8	.2	.6	6.23	1.76	.2	1
21336	1	34	15	1	6	15	2	15	8	8	4	.322041615731133	.38832386032298	.562493975547281	.8	.8	.8	.866666666666667	.2	1	7	2.28	.6	1
21337	2	35	15	-99.99	 	 	 	 	10	 	 	.62502255176989	 	 	1	 	 	.333333333333333	1	.6	7	2.28	0	1
21352	1	19	31	3	3	31	 	 	5	7	 	 	-.308015903493153	 	.6	.6	 	.6	.533333333333333	.8	5.2	1.53	.4	0
21431	2	56	-99.99	6	8	-99.99	9	-99.99	7	6	10	1.13169915122354	1.01488632926528	.970646040842926	1	1	1	.466666666666667	.2	.6	5.84	2.18	-.4	1
21459	2	39	32	6	9	30	9	30	2	3	3	-2.11950773562867	-1.32586483490285	-1.88742839423524	.8	.8	1	.8	.466666666666667	.6	5.86	2.18	-.4	1
21490	1	28	14	2	2	21	 	 	5	7	 	-.0630909814750006	-.0228733504750802	 	.8	.8	 	.533333333333333	.333333333333333	.6	6.41	2.26	0	1
21491	1	60	20	1	8	20	1	20	10	8	10	.748588782494635	.278274000880809	.450102308018235	1	1	.8	.866666666666667	.733333333333333	.6	6.33	2.26	0	1
21523	1	39	22	2	2	22	1	22	8	8	8	.289765497045585	1.02706484473576	.467301976802532	.8	.8	.8	.666666666666667	.8	.6	7.53	1.87	0	1
21528	1	36	32	2	2	30	2	30	10	10	10	.892193774747958	.249171227316839	.761339058359536	1	1	.8	.8	.533333333333333	1	6.93	2.72	.6	1
21620	1	55	19	6	 	 	 	 	6	 	 	-.249721043785182	 	 	.6	 	 	.8	.4	.4	6.11	2.67	-.6	1
21653	1	24	31	5	3	31	3	31	5	6	7	-.603634747074104	-.549853802835185	.113579335611969	1	.6	.6	.6	.2	.8	5.69	1.62	.4	0
21660	2	29	15	-99.99	1	23	2	30	10	10	10	1.07468907634957	.970677901716459	1.34647184464053	1	1	1	.4	.2	.6	7.396	2.688	0	1
21738	1	66	19	6	1	19	2	19	1	1	1	-1.22302084619828	-1.68917215313271	-1.78700017299278	1	1	1	.733333333333333	.6	1	6.11	2.6	-.2	1
21771	2	48	30	6	2	20	2	30	10	10	10	.830930776707998	.84486138808174	1.10045713981203	1	1	1	.866666666666667	.4	.4	6.14	1.77	.6	1
21833	2	70	13	6	1	13	1	13	8	8	5	-.582053405283278	.349824352141871	-.957110809984454	1	1	1	.8	1	.8	6.94	2.36	.6	1
21903	2	37	32	1	1	30	1	32	7	7	8	.677362527498884	.868851689764665	.876176141256429	.8	.8	.8	.8	.4	.8	6.96	2.45	-.2	1
21974	1	18	15	2	2	15	2	15	5	6	7	-.588543412299741	-.013260190304979	.0544078570370009	1	.6	.8	.666666666666667	.533333333333333	.4	6.82	2.48	-.2	1
21984	1	43	30	2	6	21	2	21	2	3	5	-.765939840087826	-.272732425397027	-.114448396605646	1	1	.6	.666666666666667	.4	1	6.5	2.25	0	1
21990	2	35	21	-99.99	-99.99	21	-99.99	-99.99	10	5	5	1.36620466148461	1.49662466794582	.105207378887062	1	1	1	.266666666666667	.333333333333333	.6	6.47	2.27	-.2	1
22164	2	42	18	2	2	18	 	 	10	10	 	1.85325867063175	1.54436052108313	 	1	1	 	.733333333333333	.266666666666667	.6	6.45	2.37	.2	1
22205	2	32	30	1	 	 	 	 	5	 	 	-.365146492030963	 	 	.6	 	 	.866666666666667	.466666666666667	.8	6.91	2.2	0	1
22230	2	38	21	6	2	21	2	21	9	9	10	.429437200988834	1.09305209433148	.660826794772198	.8	1	1	.733333333333333	.6	.6	6.6	2.22	0	1
22274	2	52	24	8	 	 	 	 	6	 	 	 	 	 	.6	 	 	.733333333333333	.466666666666667	.6	5.38	1.56	0	0
22302	1	71	13	-99.99	-99.99	13	-99.99	13	5	10	9	.197736823280117	.821242969588009	1.24860907006003	1	1	1	.666666666666667	1	.6	6.67	2.14	0	1
22308	2	80	13	1	2	19	2	19	10	6	10	 	.0294582546218638	.924857228728289	.8	.8	.8	.933333333333333	.2	.8	6.15	2.69	.4	1
22328	2	59	19	2	1	13	6	30	5	8	7	 	.461697054355331	.139562514060946	1	1	.8	.933333333333333	.4	.6	6.08	2.48	0	1
22368	2	65	13	2	 	 	 	 	5	 	 	-.249767158761936	 	 	1	 	 	.8	.533333333333333	.6	6.96	2.45	.2	1
