intnum	sex	age	Zeitung_W1	TV_W1	Zeitung_W2	TV_W2	Zeitung_W3	TV_W3	Einstellung_W1	Einstellung_W2	Einstellung_W3	Einstellung_Pro1	Einstellung_Pro2	Einstellung_Pro3	Cert1	Cert2	Cert3	Media_Reliance	Disk_Reliance	dim_bildung	dim_x	dim_y	dim_lr	dim_spr
27493	1	26	13	1	2	13	 	 	3	6	 	-1.74657227576014	-1.02559545488288	 	.8	.8	 	.666666666666667	.333333333333333	.8	6.87	2.52	-.4	1
27592	1	65	20	2	6	20	6	20	3	8	5	-.229178349621151	-.620716641431821	-.323462795930714	.6	.8	.4	.866666666666667	.4	1	6.08	2.1	0	1
27624	1	42	20	6	 	 	 	 	10	 	 	1.19311066009898	 	 	1	 	 	.933333333333333	1	.6	6.09	2.01	.4	1
27634	1	81	18	1	2	18	8	30	10	1	10	1.56172090190466	1.42581393391788	.825583470307983	1	.2	1	1	1	.6	6.46	2.48	1	1
27694	2	64	19	1	2	14	 	 	8	 	 	.276369115138858	.123880167811927	 	.8	.2	 	.733333333333333	.8	.6	6.11	2.67	0	1
27704	1	60	21	1	1	15	1	15	4	4	2	-.446748497062293	-.96761578846952	-1.16934987350795	.8	.6	.8	.8	.6	.6	7.2	2.2	.2	1
27811	2	38	30	2	2	30	 	 	8	5	 	1.69778412191118	.890923427987205	 	1	1	 	.866666666666667	.4	.6	6.41	1.26	0	1
27813	1	57	15	2	2	15	2	15	2	2	3	-.980406044832025	-1.32506066894914	-1.22024915422867	.8	.8	.8	.733333333333333	.666666666666667	.6	6.59	2.38	-.4	1
27829	2	35	23	2	2	23	 	 	7	8	 	.201022412760414	-.122181924567754	 	.6	1	 	.866666666666667	.466666666666667	.6	7.31	2.49	0	1
27831	1	67	15	2	2	15	2	23	8	10	10	.283236028399357	1.29541319147781	.407844880425241	.8	1	1	.8	.8	.6	7.25	2.22	0	1
27848	1	58	26	5	5	26	5	25	2	1	4	-1.50094727346747	-1.60236039606254	-1.51756210440108	.8	.6	.4	.8	.2	1	5.67	2.06	.2	0
27890	1	63	19	2	2	19	2	19	10	10	10	1.1790177331136	1.04097527577377	1.21384282529936	1	1	1	.8	.6	.6	6.09	2.6	0	1
27893	2	45	31	5	-99.99	31	-99.99	-99.99	10	8	8	.62553067373995	.402864012715522	.655274533731602	.8	.6	.6	.6	.2	.6	5.01	1.49	 	0
27922	2	39	15	1	1	32	 	 	9	10	 	1.41153780729313	1.11046263011554	 	1	1	 	1	.4	.6	7.396	2.688	.6	1
27925	2	44	32	1	2	11	 	 	5	7	 	.337997835575791	.130325402803893	 	.8	1	 	.733333333333333	.533333333333333	.2	7.396	2.688	0	1
27950	2	60	26	3	1	26	3	26	9	5	10	.729049761194573	.913720419370818	.268462195516509	.4	.4	.8	.733333333333333	.4	.6	4.99	1.17	-.6	0
27963	1	29	16	1	2	32	 	 	2	2	 	-1.73226102189034	-1.2246707894891	 	.8	.8	 	.933333333333333	.666666666666667	1	5.96	1.94	-.8	1
27987	2	21	20	2	2	20	6	20	5	5	2	 	-.617864317499369	-.835977526462402	.6	.6	.8	.666666666666667	.533333333333333	.8	5.96	1.94	0	1
28014	1	40	31	7	5	31	5	31	3	4	5	-.979974478995371	-1.09837629304183	-1.11602106260277	.8	.6	.4	.666666666666667	.333333333333333	.6	5.388	1.804	.2	0
28026	2	63	19	-99.99	6	32	2	32	5	10	10	-.795544929956294	2.18656576852163	1.77272579197715	.2	1	.2	.466666666666667	.666666666666667	.4	6.11	2.6	0	1
28045	1	72	20	1	2	32	2	30	5	10	10	.438168918438731	1.35842259157151	1.13484397980756	.8	.8	1	.8	.2	.6	6.14	1.77	0	1
28046	2	82	20	2	2	33	2	-99.99	7	10	5	.547617958859515	.26615340847156	.462989400642944	1	1	.2	.666666666666667	.9	.6	6.14	1.77	0	1
28068	1	46	17	1	1	17	 	 	5	5	 	-1.04984437643176	-.615246487205359	 	.8	1	 	.466666666666667	.4	.6	6.14	1.77	0	1
28088	2	44	21	-99.99	-99.99	21	-99.99	21	7	8	8	1.20904191374113	.872017721895217	1.07427521676423	.8	1	.8	.533333333333333	.533333333333333	.6	6.6	2	0	1
28091	1	83	32	6	1	30	6	30	8	5	8	.207177555386904	.0787590326072994	.155922495328544	1	1	1	.8	.6	.4	6.05	2.3	0	1
28133	1	57	20	6	2	20	1	20	6	4	6	-.31946324638795	-.392992711882071	-.168503682442396	.8	.8	.8	.8	.333333333333333	.6	5.97	1.99	-.4	1
28168	2	58	31	7	8	31	5	31	8	5	5	.497796098645847	.325386942725789	.60058078729062	1	.6	.6	.6	.2	.6	5.54	2.17	0	0
28187	2	22	17	1	 	 	 	 	8	 	 	.460365399129348	 	 	.8	 	 	.733333333333333	.2	.6	6.96	2.45	0	1
28219	2	70	11	2	2	11	2	11	10	10	10	1.82985094947328	1.84071979960347	.895033643235923	1	1	.8	1	.5	.4	5.84	2.19	1	1
28220	2	20	32	1	1	30	1	15	8	8	8	1.43719582890595	.792672000701906	.647264259324103	.8	.8	.8	.666666666666667	.666666666666667	.6	6.77	2.65	.6	1
28236	2	47	32	-99.99	-99.99	25	-99.99	25	1	1	1	-1.21855780483403	-1.20081828236573	-1.19741227822974	1	1	1	.333333333333333	.5	1	5.388	1.804	-.2	0
28274	2	55	-99.99	9	6	-99.99	1	-99.99	10	8	7	 	.338509816481133	.650889326453732	1	.6	.8	.6	.2	.6	6.87	2.52	 	1
28331	2	36	18	1	1	18	1	18	9	8	10	1.57566182977667	1.08273498247142	1.43339781474322	.8	1	1	1	.533333333333333	.6	6.66	2.64	0	1
28357	1	53	20	1	 	 	 	 	7	 	 	-.0302829728227468	 	 	.8	 	 	.866666666666667	.533333333333333	1	6.035	2.1	.2	1
28430	2	56	13	1	 	 	 	 	9	 	 	.757353064745009	 	 	1	 	 	.866666666666667	.6	1	6.82	2.48	.4	1
28481	1	84	33	1	9	15	 	 	7	8	 	1.16845151737328	1.28356375802339	 	.8	1	 	.6	.5	1	6.82	2.48	.4	1
28485	2	75	31	8	 	 	 	 	4	 	 	 	 	 	 	 	 	.466666666666667	.2	.2	5.67	2.06	-1	0
28491	1	80	15	2	2	15	2	15	1	1	2	-.298822012692091	-1.65804840080892	-1.0714194762399	.8	1	1	.866666666666667	.4	.6	6.95	2.35	-1	1
28508	2	33	30	-99.99	1	17	-99.99	-99.99	7	5	10	1.32898653891773	1.41182805914976	1.18355131705074	1	1	1	.333333333333333	.2	.6	6.72	1.9	0	1
28532	1	69	31	5	5	31	 	 	3	7	 	1.06857097231316	1.31463912209964	 	1	1	 	.533333333333333	.8	1	5.33	1.73	0	0
28535	1	47	18	-99.99	6	18	9	18	8	10	10	1.53485055274182	1.84127601148322	1.63667247586924	1	1	1	.4	.533333333333333	.6	6.53	2.53	.4	1
28577	2	48	21	2	2	21	 	 	10	9	 	1.35826670044932	1.53837968291306	 	1	1	 	.866666666666667	.866666666666667	.6	6.52	2.19	.4	1
28612	2	38	-99.99	9	-99.99	20	9	20	2	6	1	-.877409694942109	-.758709700885411	-1.43682794166279	.2	1	.2	.466666666666667	.466666666666667	.8	6.17	1.7	.6	1
28650	2	22	21	1	1	21	1	-99.99	5	4	3	-.856546453541808	-.540853890467624	-.844140007870135	.6	.8	.8	.533333333333333	.333333333333333	.6	6.67	2.11	-.4	1
28911	2	54	15	2	 	 	 	 	6	 	 	-.12551936723719	 	 	.6	 	 	.466666666666667	.9	.8	6.87	2.52	-.8	1
28921	2	37	32	3	3	31	3	32	8	8	7	1.27252991969257	1.00223344554016	1.27249577147763	.6	.6	.8	.933333333333333	.5	.4	5.93	2.32	0	0
28988	1	45	13	-99.99	-99.99	14	-99.99	14	8	7	9	.542430743692591	.582271252347298	.883556111749672	1	1	1	.333333333333333	.733333333333333	.6	5.92	2.03	0	1
28993	2	61	32	2	2	30	6	32	10	8	10	1.06663727311453	1.46031693920979	1.7317837085463	1	.8	1	.8	.2	.6	6.82	2.12	0	1
29086	2	29	31	7	3	31	3	32	1	1	1	-1.44216866863648	-1.80160075516492	-1.57531635800072	1	1	1	.733333333333333	.6	.4	5.39	1.55	-.6	0
29136	1	31	15	-99.99	 	 	 	 	2	 	 	-1.91768138890461	 	 	.8	 	 	.6	.666666666666667	1	6.8	2.33	-.2	1
29147	2	63	-99.99	-99.99	6	-99.99	6	-99.99	9	3	8	.0806662753812063	.728745387702705	1.04085681356994	1	.4	.2	.2	.2	.2	6.4	2.33	-1	1
29200	1	36	21	2	2	21	2	21	8	8	8	1.37432602063378	.472537569501995	.128737250151651	1	.8	1	.733333333333333	.2	.6	6.67	2.11	0	1
29210	1	52	15	1	2	15	2	15	4	3	1	-1.65686672126139	-1.20623436413268	-2.13337724152143	.8	.8	1	.733333333333333	.8	1	6.93	2.08	.2	1
29244	1	28	30	1	1	30	1	30	1	2	2	-1.8545930543386	-1.55502887279562	-1.59756746420422	1	1	.8	.6	.6	1	6.1	1.94	-.4	1
29297	2	66	32	8	5	32	5	31	8	8	8	 	.496749837405039	-.266198422379788	.8	.8	.8	.733333333333333	.8	.8	5.8	1.09	.2	0
29303	2	50	19	1	1	19	1	19	10	9	8	.482997054804526	.941477326433073	.466263355951254	1	1	.6	.733333333333333	.4	.6	6.09	2.6	 	1
29336	2	61	15	2	2	13	2	15	6	1	1	-.473865834005298	-1.35569592071445	-1.61635137236674	.8	1	1	.8	.8	.6	6.68	2.57	-.6	1
29387	2	61	-99.99	-99.99	 	 	 	 	10	 	 	1.5485441472524	 	 	1	 	 	.333333333333333	1	.8	6.22	2.62	-.4	1
29407	2	62	20	2	2	20	2	20	2	5	5	-.974705638566535	-.55643655981084	-.801230407659002	.6	.6	1	.666666666666667	.6	.6	5.96	1.94	0	1
29462	2	60	24	9	5	31	5	31	3	1	1	-1.24778179606353	-1.09439319741008	-1.34473018544331	.6	.6	.8	.866666666666667	.6	1	5.94666666666667	2.41333333333333	-.4	0
29480	1	62	33	5	5	25	5	25	2	2	2	 	-.596587798591202	-.734441793329236	.8	.8	.8	.666666666666667	.6	1	5.04	1.43	.2	0
29642	2	66	26	7	9	26	7	25	10	10	10	.603998826347418	-1.0771017926816	.150852147607372	1	.6	.6	1	1	.8	4.99	1.17	0	0
29694	2	45	26	5	8	32	5	31	8	1	8	1.16852462124691	-1.03866646960178	1.5156554125043	.6	1	.6	.733333333333333	.733333333333333	.6	4.99	1.15	.2	0
29806	2	71	30	1	1	15	1	15	7	5	10	.300712953205927	-.291049824601325	-.161974214055068	1	.8	.8	.8	.9	.4	6.88	2.49	.6	1
29835	2	64	-99.99	3	7	33	5	-99.99	5	5	8	-.247013585112293	.374742328770987	.397058446301101	.2	.2	.6	.6	.2	.6	5.47	2.11	0	0
29857	2	53	31	3	3	31	3	31	1	1	1	-1.77295931596235	-2.47798491129941	-1.91988346569813	1	1	1	.733333333333333	1	.6	5.04	1.16	-1	0
29858	1	45	15	9	1	15	1	15	2	7	4	-1.14967645696496	-.448150946516304	-1.22887745116336	.6	.4	1	.666666666666667	.4	1	6.95	2.35	-.4	1
29934	2	43	-99.99	9	-99.99	-99.99	 	 	3	2	 	.0406021598641872	.0660859868193647	 	.4	.2	 	.666666666666667	.2	1	6.76	2.21	0	1
29966	1	70	20	2	1	20	-99.99	32	8	5	8	1.00749964921765	-.406011911134071	.850251718591868	1	.4	1	.6	.3	.6	6.41	1.39	-.2	1
30064	1	49	30	2	2	15	2	22	8	4	6	.390984351709469	-.236670349018827	-.212178200259958	.6	.6	.6	.866666666666667	.533333333333333	1	7.43	2.21	0	1
30141	2	24	18	2	2	18	2	18	8	10	10	.291446916179943	.507897621888844	.819210720567312	1	.8	1	.8	.466666666666667	.6	6.45	2.52	.4	1
30205	2	45	20	1	1	11	 	 	2	3	 	-.224468298418739	-.895861151504876	 	.4	.8	 	.933333333333333	.6	.6	5.96	1.94	-.4	1
30209	2	48	25	5	3	31	9	32	1	1	1	-1.98612521782395	-1.98363699184475	-2.29607180466338	1	1	1	.733333333333333	.733333333333333	1	4.99	1.17	-.6	0
30287	2	58	14	2	 	 	 	 	5	 	 	.161877143286671	 	 	.6	 	 	.733333333333333	.2	.6	6.67	2.11	0	1
30349	2	39	20	2	2	20	-99.99	20	8	6	6	.128876605887544	-.512150008961083	-.198738671280486	.8	.8	1	.933333333333333	.733333333333333	.8	6.09	2.19	0	1
30384	1	68	24	2	2	31	5	31	7	8	6	-.0109146867662706	.552705824752237	.347573591256922	.8	1	.8	.666666666666667	.3	.6	5.86	2.27	.6	0
30411	2	44	30	8	1	32	6	30	10	8	8	.401056966452837	.727317073175386	.329395774998374	1	1	.8	.733333333333333	.8	.4	6.975	2.275	.4	1
30472	1	45	24	8	7	32	 	 	8	7	 	.58672675628943	.859419613711477	 	.8	.8	 	.533333333333333	.733333333333333	.4	5.92	2.47	.2	0
30487	1	70	31	3	9	-99.99	 	 	8	7	 	.0590073826623175	.0616430781019007	 	1	.8	 	.666666666666667	.3	.6	5.33	1.56	-.2	0
30507	1	78	13	1	1	14	 	 	7	8	 	-.63098827245141	-.543750616619649	 	1	.8	 	.8	.5	1	7.83	1.81	.6	1
30524	2	47	24	5	5	31	7	24	8	5	8	.529259669457143	-.605906247490499	.250052644741644	.6	.6	1	.866666666666667	.533333333333333	.6	5.59	1.21	0	0
30530	2	36	31	7	5	31	 	 	6	2	 	.0900003764829883	-1.2594986320956	 	.4	.6	 	.6	.2	.6	5.94	2.36	-.4	0
30540	1	34	30	1	6	30	 	 	1	2	 	-1.9248962764228	-1.88760151402682	 	1	1	 	.533333333333333	.2	.6	5.97	1.99	-.6	1
30590	2	44	15	1	1	15	1	15	5	2	4	-.858709763093451	-1.38698366993368	-.745645591460922	.6	1	1	.666666666666667	.3	.8	6.76	2.28	-.4	1
30598	2	46	31	3	3	31	5	31	10	7	10	.11077145855004	-.407567558544107	.0167697575316687	1	.8	.8	.933333333333333	.2	.6	5.495	1.67	0	0
30634	2	49	32	8	6	15	1	32	5	4	5	.439718273206313	-.109045268921824	-.482280688976325	1	1	.8	.8	.6	.6	7.13	2.23	 	1
30636	1	63	15	-99.99	-99.99	15	-99.99	32	8	8	8	-.54017133616119	1.19363589751327	.836868902913876	.8	1	.8	.533333333333333	.4	1	7.08	2.71	.4	1
30677	2	54	17	8	 	 	 	 	9	 	 	.598387765444383	 	 	.8	 	 	.733333333333333	.6	.6	7.14	2.64	0	1
30791	2	23	20	2	2	20	2	20	7	4	7	.785706702528069	-.393517112371033	-.0439188331908425	.6	1	.8	.6	.733333333333333	.6	6.05	1.93	0	1
30795	2	55	32	2	1	32	 	 	1	1	 	-2.49038680924608	-2.25655265242232	 	1	1	 	.666666666666667	.7	.6	6.05	1.93	-.2	1
30833	2	23	15	1	1	15	1	15	3	5	2	-.757581976551974	-.967089342770045	-1.1300991727966	.8	.2	.8	.8	.733333333333333	.8	6.59	2.38	-.4	1
30889	2	48	31	8	5	31	 	 	7	5	 	-.22980317353358	-.0648004828311806	 	.6	.6	 	.866666666666667	.466666666666667	.6	5.42166666666667	1.64833333333333	0	0
30890	1	61	20	2	 	 	 	 	10	 	 	.242373596342807	 	 	1	 	 	.8	.733333333333333	.6	5.99	1.84	.2	1
30922	1	37	30	2	 	 	 	 	3	 	 	-1.36839319228304	 	 	.8	 	 	.6	.6	1	5.93	1.85	-.4	1
31025	2	66	-99.99	7	5	31	-99.99	-99.99	5	5	5	 	-.16380152694858	-.582705058138664	1	.8	.6	.6	1	.4	5.64	1.2	-.4	0
31029	1	81	32	1	2	30	1	32	10	9	10	1.40346093927369	1.64495441274239	1.4006905921323	1	.8	1	.666666666666667	.4	.6	6.975	2.275	-.4	1
31101	2	69	24	5	5	24	5	24	5	7	5	-.64241165857565	-.252838735629618	-.368953742367489	.6	1	.6	.6	.4	.6	5.39	1.55	0	0
31120	2	79	30	2	2	30	2	32	10	10	7	.62461972513153	.611927947479372	.600572212446841	1	.6	.6	.733333333333333	.3	.8	7.07	2.35	-.4	1
31137	1	69	30	2	2	18	 	 	7	6	 	.193484645368224	-.0963717334372048	 	.8	.6	 	.866666666666667	.2	.6	6.46	2.48	-.6	1
31171	2	45	21	1	1	21	2	21	5	3	5	-.132808869517281	-1.67549466774741	-.580179540950745	.4	.4	.6	.933333333333333	.533333333333333	.6	6.64	2.15	0	1
31236	2	46	15	6	 	 	 	 	1	 	 	.537930817811952	 	 	.6	 	 	.733333333333333	.3	1	6.82	2.64	0	1
31259	2	70	18	1	8	32	2	30	10	9	9	1.29632119838718	1.11789814117291	.552354112732931	1	.4	1	.533333333333333	.2	.2	6.61	2.62	0	1
31268	2	50	21	6	6	21	 	 	3	2	 	-1.28853145657849	-1.77156939675107	 	.8	.8	 	.733333333333333	.333333333333333	.6	6.67	2.11	0	1
31298	1	45	-99.99	2	2	-99.99	 	 	10	10	 	 	1.14270499404246	 	1	1	 	.6	.2	.6	6.08	2.5	0	1
31321	1	83	18	1	2	18	1	18	8	8	7	.505839833284163	.259206095372954	-.100427629693631	1	1	.8	.866666666666667	.4	.6	6.68	2.57	-.2	1
31402	2	75	32	1	2	18	 	 	8	6	 	.905406554719165	.956239813966582	 	.8	.8	 	.733333333333333	.3	.6	6.47	2.61	.4	1
31442	1	60	30	-99.99	8	32	2	32	10	10	10	1.75589049116929	1.22805294483921	.640491449847392	1	1	1	.466666666666667	.2	1	6.22	2.225	0	1
31570	2	63	30	6	6	30	1	32	8	10	10	1.76759540516516	1.0871927701392	1.1780560782395	.2	1	1	.866666666666667	.2	.6	6.94	1.89	0	1
31576	1	68	13	1	1	13	 	 	10	4	 	.163383080451956	.860682023884468	 	1	1	 	.733333333333333	.8	1	6.67	2.45	.4	1
31583	1	61	15	6	 	 	 	 	10	 	 	-.235564468642505	 	 	1	 	 	.866666666666667	.8	1	6.59	2.63	0	1
31584	1	43	19	2	2	30	2	19	10	10	 	 	.353286324855953	1.46665626512238	1	1	1	.866666666666667	1	.6	6.1	2.56	1	1
31627	1	23	17	1	 	 	 	 	4	 	 	.526822891473489	 	 	.8	 	 	.8	.6	.6	6.05	1.93	-.4	1
31757	2	28	15	8	8	-99.99	8	-99.99	10	10	10	1.06918434000086	1.24824012685282	1.55771696306704	1	1	1	.6	.2	.6	6.94	2.49	.6	1
31782	2	71	15	2	2	15	2	15	10	10	10	.557230526062954	.818842705174148	1.36571249675077	1	1	1	1	1	.6	6.82	2.48	0	1
31888	2	53	-99.99	6	6	-99.99	 	 	5	6	 	.119257959431862	.27019414437675	 	.6	.6	 	.533333333333333	.2	.4	6.66	2.07	-.2	1
31942	2	51	18	1	 	 	 	 	10	 	 	1.39771933020056	 	 	.8	 	 	.6	.2	.2	6.46	2.48	-.6	1
31961	2	59	21	6	1	15	6	21	8	5	8	1.01409063661532	1.11545827133496	.287196513760877	.6	.8	.8	.8	.733333333333333	.6	6.64	2.15	0	1
32014	2	31	18	6	 	 	 	 	8	 	 	.927138380756397	 	 	1	 	 	.933333333333333	.666666666666667	.6	6.7	2.61	-.4	1
32065	1	28	30	2	 	 	 	 	7	 	 	.0857997112866093	 	 	.8	 	 	.866666666666667	.466666666666667	.6	7.16	2.79	.2	1
32095	1	28	31	9	7	31	-99.99	31	8	7	10	.456037526076783	.0293397086925724	1.13479681237793	.8	.6	.6	.666666666666667	.6	.6	5.35	1.94	0	0
32186	2	27	15	-99.99	1	15	-99.99	17	5	1	2	-.976278228975541	-1.13511555648738	-1.27961469794715	1	1	.8	.6	.6	.8	6.77	2.54	0	1
32210	1	56	14	1	2	15	2	15	3	2	3	-.573446741700142	-.97647637576388	-1.24554050331282	1	1	1	.8	.6	.8	6.45	2.44	-.4	1
32247	1	50	14	6	1	15	 	 	7	8	 	.190311849670243	.281415663578137	 	.8	1	 	.733333333333333	.333333333333333	.6	6.93	2.25	.2	1
32261	2	46	18	2	2	15	2	30	10	10	5	1.40058541458194	1.46448292915104	1.62587426766331	1	1	1	.866666666666667	.2	.6	7.36	2.53	0	1
32372	1	48	31	7	3	25	-99.99	-99.99	2	2	4	-.648172570571522	-.164621179055295	-.372987235805696	.6	.4	1	.533333333333333	.2	.6	5.35	1.94	-.6	0
32404	2	29	21	-99.99	1	21	-99.99	21	1	3	2	 	-1.78780858588481	-1.48797854883262	1	.4	1	.666666666666667	.266666666666667	1	6.43	1.99	-.4	1
32424	1	74	25	3	-99.99	25	3	25	5	10	3	 	.64820702476172	-.83765008849024	 	1	.6	.8	.8	.4	6.08	1.29	-.2	0
32433	1	61	32	7	7	31	7	24	5	8	7	-.202044232182076	-.408461165517252	-.0376331111130767	.6	.6	.6	.866666666666667	.466666666666667	.6	6.07	1.28	0	0
32488	1	50	15	2	6	15	 	 	7	6	 	-.0282889976641036	-.209374077997011	 	.8	.8	 	.666666666666667	.666666666666667	1	6.82	2.22	.2	1
32541	2	50	20	2	2	20	2	20	8	10	8	1.01474080495961	.919940877946172	.640631367122881	1	1	1	.933333333333333	.2	.4	6.24	1.87	.6	1
32605	1	45	31	5	5	31	5	31	2	2	3	-.455475068732354	-.305139033234654	-1.35725077980438	1	.8	1	.666666666666667	.466666666666667	.8	5.97	1.3	.4	0
32634	1	51	15	2	2	15	2	15	4	1	1	-.808172813624386	-1.42503423369128	-1.28842318089616	.8	.8	.8	1	.266666666666667	.8	7.35	2.46	-.4	1
32663	1	74	24	3	 	 	 	 	8	 	 	.172193982440666	 	 	.6	 	 	.666666666666667	.7	.6	5.355	1.545	-.4	0
32725	1	36	31	7	 	 	 	 	1	 	 	-1.83843570119047	 	 	.8	 	 	.8	.733333333333333	1	5.39	1.55	-.6	0
32791	2	28	30	1	6	18	6	-99.99	7	8	8	-.353862712657239	-.237413892104472	.165609190775221	.4	1	1	.666666666666667	.4	.8	6.61	2.59	.2	1
32794	1	19	23	2	1	15	1	15	7	7	10	.0398698141941028	-.144376682721212	.281331409027661	.6	.8	1	.8	.933333333333333	.6	7.44	2.69	0	1
32821	1	56	30	2	2	30	2	17	10	6	8	1.18581203120898	-.189213524172065	.418172796679775	1	.8	.8	.866666666666667	.466666666666667	.6	6.72	2.24	.6	1
32912	2	48	15	2	2	15	 	 	6	3	 	-.375001985179769	-.426076035490439	 	.8	.8	 	.8	.733333333333333	.6	6.82	2.48	.2	1
32962	2	47	30	6	 	 	 	 	7	 	 	-.464835080097335	 	 	1	 	 	.6	.4	.6	7.44	2.69	.4	1
33003	2	67	32	2	2	31	 	 	4	5	 	.346515006832431	.289988489954329	 	.6	.4	 	.933333333333333	.2	.6	5.89	2.17	.4	1
33010	2	64	24	7	5	24	5	24	5	10	8	-.0120441336245232	.311598619115888	-.113312085860879	 	.6	.6	.6	1	.6	5.39	1.55	-.2	0
33032	1	35	15	6	6	15	6	15	6	6	7	-.771995416888415	-.323654567535571	-.279874358633633	.8	.6	.6	.8	.4	1	6.94	2.49	0	1
33134	1	39	32	1	1	30	2	32	10	3	4	1.09552206154735	-.647161816413267	.719754628398524	1	.8	.8	.733333333333333	.266666666666667	.4	6.08	1.46	.6	1
33137	1	64	30	2	1	20	1	20	8	8	8	1.09542317815846	1.34412937073896	1.06632717429181	1	.4	.8	.6	.666666666666667	1	5.9	2.08	.4	1
33180	2	46	15	-99.99	-99.99	15	-99.99	15	5	5	7	-.851576336605095	-.880518609585565	-.872687493831286	1	1	1	.533333333333333	.666666666666667	1	6.82	2.48	-.4	1
33198	1	76	18	6	-99.99	18	9	32	5	8	5	-.794110718211033	-.458617946567676	.377048007878335	.8	1	.6	.933333333333333	.6	.6	6.56	2.59	.6	1
33207	1	36	18	1	1	30	1	30	10	10	9	1.59573796977403	1.40816760120638	1.22645106508691	.8	1	1	.666666666666667	.666666666666667	.6	6.41	2.47	0	1
33214	1	39	20	2	2	20	2	20	8	9	8	.761506091438318	1.65167652191511	.794093994298258	.8	1	.8	.733333333333333	.466666666666667	1	6.1	2.14	.4	1
33219	2	37	-99.99	1	1	30	1	33	8	7	7	.701848157318114	.551984032872162	.390092051144846	1	1	.8	.466666666666667	.3	.4	6.14	2.39	0	1
33257	2	60	32	2	6	30	6	32	5	6	8	.541277794097731	.131592890166183	.610527221505959	1	1	1	.6	.2	.6	7.03	2.62	.2	1
33289	1	77	13	1	2	13	6	14	10	10	10	1.09435596596887	1.18998269264145	1.13666225745206	.6	.6	.6	.666666666666667	.8	1	6.91	2.31	.2	1
33293	1	22	15	2	 	 	 	 	9	 	 	-.76307924388363	 	 	.8	 	 	.8	.866666666666667	.6	6.74	2.48	0	1
33321	2	60	26	5	3	-99.99	 	 	5	5	 	 	.707830229550591	 	.6	 	 	.8	.6	.6	4.97	1.11	-.4	0
33379	2	63	30	6	2	30	2	31	4	8	10	-.239531400484897	.981300264365713	.697300430156804	.6	.4	.2	.733333333333333	.266666666666667	.6	5.75	1.93	0	1
33488	1	40	30	1	1	32	1	32	5	7	8	-.330991747320512	.0586350172988847	.429138932540599	1	.8	.8	.733333333333333	.466666666666667	.2	6.43	2.63	 	1
33510	1	41	30	2	 	 	 	 	10	 	 	.275954707310256	 	 	1	 	 	.666666666666667	.666666666666667	1	6.43666666666667	2.47	.4	1
33566	1	46	30	2	2	30	1	32	5	3	5	1.1686952732244	.70353966678945	.729134482492344	.2	.6	1	.866666666666667	.8	.6	7.44	2.69	1	1
33586	2	21	15	1	1	15	2	15	1	1	5	 	-1.69865975108484	-1.55116376265633	1	1	.6	.666666666666667	.733333333333333	.6	6.76	2.58	-1	1
33619	1	69	30	-99.99	-99.99	32	 	 	1	1	 	-1.73559972638651	-2.00310397156009	 	1	1	 	.666666666666667	.4	1	5.97	1.99	-.4	1
33621	2	39	15	1	 	 	 	 	8	 	 	-.598659263395135	 	 	.8	 	 	.8	.5	.8	6.77	2.46	0	1
33646	2	75	31	7	5	31	5	-99.99	5	10	8	.607598641466113	-.0397510712837664	.486010961196944	1	.8	1	1	.5	.4	5.45	1.55	0	0
33680	2	81	19	2	2	19	2	19	8	8	10	.0859757144222622	.942663983340541	.543736163766643	1	.8	1	.8	.2	.6	6.09	2.65	0	1
33730	1	42	13	6	 	 	 	 	8	 	 	-.94921126675483	 	 	.8	 	 	.6	.4	1	6.11	2.58	-.4	1
33793	1	57	30	6	6	30	6	32	2	3	3	-1.04328042030114	.14276258138671	-.563834775837696	1	1	.8	.866666666666667	.666666666666667	.6	7.07	2.77	-.2	1
33798	1	56	21	2	2	21	2	21	6	8	8	-.273125693822689	.627896918051231	.700628175060514	.6	1	.8	.6	.666666666666667	.6	6.7	2.2	.2	1
33816	2	49	21	2	2	21	2	21	8	6	8	.623470833494594	.268720732378426	.0158829001895878	1	.8	.6	.8	.733333333333333	.6	6.615	2.06	0	1
33825	1	52	16	6	6	32	6	19	5	7	7	-.265801221873561	.567300641854243	.464822932546184	.6	1	1	.733333333333333	.666666666666667	1	6.22	2.55	0	1
33880	2	51	31	9	7	-99.99	5	-99.99	10	10	10	1.42017450631304	1.64084406576439	1.2487449168822	1	1	1	.666666666666667	.4	.4	5.35	1.94	0	0
33894	1	40	20	2	1	20	2	20	6	3	3	-.104746236691276	.235745061449667	.111411857444741	.8	.6	.8	.666666666666667	.6	1	6.05	2.13	.2	1
34049	2	74	31	3	9	24	5	31	10	10	10	 	1.23602204355811	.742504346575047	1	.2	1	1	.9	.6	5.92	2.47	1	0
34070	1	36	25	9	 	 	 	 	5	 	 	-.4951040937811	 	 	1	 	 	.533333333333333	.733333333333333	1	5.79375	1.75375	-.2	0
34071	2	41	30	2	2	30	1	32	5	7	10	 	.00542368488884724	.0436254512760565	.6	1	1	.933333333333333	.266666666666667	.6	7.54	2.34	 	1
34081	2	42	13	2	2	13	2	30	7	8	10	.402811900877352	.730508271110094	.734566416642844	.8	.6	1	.8	.666666666666667	.6	6.86	2.56	0	1
34082	1	37	24	3	 	 	 	 	10	 	 	.815904591458902	 	 	1	 	 	.466666666666667	.2	.6	5.31	1.56	-.4	0
