Timestamp	M_Result	SD_Result	Low_Result	Hig_Result	M_coeff_a	SD_coeff_a	Low_coeff_a	Hig_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	Hig_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	Hig_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	Hig_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	Hig_coeff_e	
Fri Jul  5 16:23:18 2019	4.044315007543952	0.2425614693651099	3.6629992448757935	4.294751441125294	-0.36288954307222765	0.12458616943159817	-0.5833716506961916	-0.23153013207370227	0.28662555173498966	0.06270704719366256	0.1409930548512195	0.35810613379872813	0.03857982531924772	0.00981687161380311	0.027526932891140672	0.05321121669325598	1.442790340706461	0.25412206530842857	1.1053092459118061	1.821495026685238	-0.0025062861369698057	0.0012489707661809417	-0.004813053593119319	-0.0007939181089892233	
Fri Jul  5 16:25:36 2019	4.173372383095536	0.24416784676263037	3.6465280593246665	4.3184852824537625	-0.35144784903590326	0.10259048831772892	-0.5833716506961916	-0.14996606555624264	0.2810710524175835	0.05133007519838373	0.1409930548512195	0.35810613379872813	0.04219928964885366	0.008727916731146874	0.027526932891140672	0.054750237872508295	1.4724778643965348	0.21161213428496667	1.1053092459118061	1.821495026685238	-0.002581179058995887	0.0015086607233782369	-0.005387751774765191	-0.0003001893624851636	
Fri Jul  5 16:27:53 2019	4.27241211404829	0.0610914937054845	4.148353486763918	4.32638005925104	-0.34658601385512045	0.08913327647317898	-0.48936282750235605	-0.14996606555624264	0.2795446785958738	0.0459284074902049	0.19125118882255127	0.35810613379872813	0.043395600986063675	0.007684753722504585	0.028182370316609008	0.054750237872508295	1.467489553917756	0.19099989995290545	1.1167188369370122	1.821495026685238	-0.0024236735592041256	0.001905583121604401	-0.005273865562133636	0.003234867213181456	
Fri Jul  5 16:30:01 2019	4.230772272508642	0.10121984434006598	4.0421800152217875	4.32638005925104	-0.35989436040126116	0.0837432971531749	-0.48936282750235605	-0.14996606555624264	0.28656721824186304	0.042395926301899235	0.19125118882255127	0.35810613379872813	0.04389608310970069	0.007159572383828266	0.028182370316609008	0.054750237872508295	1.5066486924701843	0.21239909639376572	1.1167188369370122	2.0279351836046215	-0.0025127962239640893	0.001930822071438427	-0.005273865562133636	0.003234867213181456	
Fri Jul  5 16:31:45 2019	4.254594834437805	0.10689913639896394	4.083568910374594	4.32638005925104	-0.36547010728255136	0.07690003318085191	-0.4571973806632751	-0.23153013207370227	0.29120101859275377	0.04012703427304047	0.2332282594172751	0.33647150830629985	0.043840172088030156	0.0066952115974907335	0.030247486482919618	0.05321121669325598	1.4818226774244039	0.2168676710093571	1.1167188369370122	1.8554157734643453	-0.0025106764535828222	0.0018691212859439003	-0.005273865562133636	0.0005598481609307509	
Fri Jul  5 16:33:39 2019	4.289529210156725	0.053908598750877335	4.2032429110324285	4.32638005925104	-0.3690442960761785	0.061467412016180015	-0.43962181616949736	-0.24516279380048517	0.29594839479207724	0.03314195445008666	0.23868000826295882	0.33647150830629985	0.04538308642607622	0.0047498995259631915	0.03866814423173898	0.05321121669325598	1.5016827505138164	0.20507236530373535	1.2630406538327068	1.8554157734643453	-0.002678866242236273	0.0019514863514590367	-0.005273865562133636	0.0005598481609307509	
Fri Jul  5 16:35:30 2019	4.298149062112951	0.021777238515552914	4.257716092182905	4.32638005925104	-0.3780346882205858	0.05221692401240546	-0.43962181616949736	-0.2658621303605557	0.30151138485594864	0.029636178252262384	0.24230993508622728	0.33647150830629985	0.04493965527934821	0.004199177899132133	0.038825540297430926	0.051512603096086546	1.501605439157442	0.20972987901700035	1.2630406538327068	1.8554157734643453	-0.002744999092138204	0.0019165941088369603	-0.005273865562133636	0.0005598481609307509	
Fri Jul  5 16:37:03 2019	4.292587803353521	0.03432857114430955	4.223104272505621	4.32638005925104	-0.3864991905859643	0.043829250125990996	-0.43962181616949736	-0.2995519740613275	0.30681208782117864	0.025924770468545983	0.26309791230773244	0.33647150830629985	0.044954148047096944	0.004220391535198166	0.038825540297430926	0.051782323268484906	1.521794355483951	0.22111811751711827	1.2569925426555608	1.8612612881109154	-0.003064690860801362	0.0018042420349830314	-0.005273865562133636	-0.00021077202628994214	
Fri Jul  5 16:38:39 2019	4.314339177677331	0.01302788093806089	4.293496429442429	4.326410512769507	-0.38287901546494957	0.039967197219609854	-0.4318855770152636	-0.30726805112658806	0.3073761062210777	0.025859024105789233	0.26309791230773244	0.33647150830629985	0.04512267479884151	0.0036544548927905903	0.03965217014782134	0.051782323268484906	1.4995582952188535	0.21457487681775567	1.2569925426555608	1.8612612881109154	-0.003235406320917872	0.001783651045957203	-0.005502784612255772	-0.0003001893624851636	
Fri Jul  5 16:40:27 2019	4.304335859637808	0.02115663877757673	4.262623394081972	4.3296101433702185	-0.3815914149472494	0.0385256936249764	-0.4273219854185296	-0.30726805112658806	0.3065843515225288	0.025127237517646003	0.27008340809446535	0.33647150830629985	0.04604450461001902	0.003262296442163128	0.04125695427448485	0.05212954025305288	1.4936366549694875	0.21085258482373456	1.186689547843938	1.8612612881109154	-0.003808730912005838	0.002105015753498842	-0.006702804424767296	-0.0006803739863551839	
Fri Jul  5 16:42:08 2019	4.315526557769964	0.0115858513036179	4.293936763767889	4.3296101433702185	-0.3832009009330931	0.03292852301794249	-0.4273219854185296	-0.3263911525948719	0.3089130018746561	0.024743390697362005	0.2829698218996718	0.33652475037161267	0.046141895183579834	0.0031758589273835425	0.04144613432774024	0.05212954025305288	1.4826935100239296	0.21788303084364158	1.1858432480426475	1.8612612881109154	-0.0044812806808199445	0.002497412584334582	-0.009128739857783681	-0.0007398986520971047	
Fri Jul  5 16:43:33 2019	4.311223303143018	0.02993141126144619	4.30072850271301	4.3296101433702185	-0.38260745604826385	0.028775187808887687	-0.4273219854185296	-0.3278082697251043	0.309752879094153	0.021332072781303432	0.2843520112480333	0.33652475037161267	0.04687245057122079	0.002964181295034864	0.041847568907197666	0.05212954025305288	1.4814563156260971	0.2259772400638683	1.1858432480426475	1.8612612881109154	-0.005080491645026086	0.0027895833836523816	-0.010675697846591316	-0.0007398986520971047	
Fri Jul  5 16:45:26 2019	4.31849451296648	0.008070048239751926	4.306057936235094	4.3296101433702185	-0.38411126147195324	0.02651877244475724	-0.4150981354977711	-0.3301718210527946	0.3138368217251289	0.018479088304967226	0.29003267508893904	0.34767864137273063	0.04746033396832833	0.0024218563637744064	0.043731258663165753	0.05212954025305288	1.4377843386810558	0.2150128933302438	1.137529080270581	1.835289878995932	-0.005896293968209261	0.0028648867810590756	-0.010675697846591316	-0.0007398986520971047	
Fri Jul  5 16:46:56 2019	4.319124366287015	0.00877175918208482	4.305000034720699	4.3296101433702185	-0.3845668904432832	0.02458645802422389	-0.4150981354977711	-0.3352964731307622	0.3160003244200543	0.017641655661750872	0.29023951434254347	0.34767864137273063	0.04771819660200188	0.002432367488949782	0.04452130578680672	0.05212954025305288	1.3966084124238196	0.20022415250224077	1.137529080270581	1.791510367743532	-0.0065642323149876485	0.0026490641121501477	-0.010675697846591316	-0.00105853805018985	
Fri Jul  5 16:48:32 2019	4.319450251337953	0.010108368731526712	4.302369549366029	4.3296101433702185	-0.3857884829260859	0.024247047203518036	-0.4150981354977711	-0.33706854001448333	0.3188344763451853	0.01719985405646516	0.2920483877564277	0.34767864137273063	0.047897510572027895	0.002481944615407465	0.04452130578680672	0.05212954025305288	1.3947595857203403	0.19865696610246208	1.137529080270581	1.791510367743532	-0.007052389358277654	0.0026730070384630624	-0.010675697846591316	-0.001966238850169814	
Fri Jul  5 16:50:21 2019	4.319883555783352	0.009513253259341136	4.301822621514346	4.3296101433702185	-0.38348232089616807	0.02084887690173922	-0.4150981354977711	-0.35545976774983173	0.31810504630429587	0.015055220954540167	0.29424179754014734	0.34433093158293765	0.04838566962247069	0.0022928557017346837	0.04549607497653001	0.05212954025305288	1.3679465513424787	0.1792347444669406	1.137529080270581	1.686979558077693	-0.007567966458751405	0.0028228083566148266	-0.010682292115171858	-0.001966238850169814	
Fri Jul  5 16:51:52 2019	4.318090804053962	0.014470537581742687	4.2861763081371365	4.3296101433702185	-0.38212170944676493	0.020092311673420547	-0.4150981354977711	-0.35545976774983173	0.31916995875195464	0.013893559724168277	0.30152611695171394	0.34433093158293765	0.04882560271992595	0.002002407694291351	0.04625975317410922	0.05212954025305288	1.339856603204823	0.16458663190838085	1.0947325168259368	1.614803982867984	-0.008253823858659071	0.002350928350635996	-0.010682292115171858	-0.004226886742486596	
